battery_id,algorithm,charging_time
1,CCCV,40.090323104076326
2,CCCV,39.72347139765763
3,CCCV,41.29537707620138
4,CCCV,43.04605971281605
5,CCCV,39.53169325055333
6,CCCV,39.477737187149906
7,CCCV,43.15842563101478
8,CCCV,41.53486945830582
9,CCCV,39.0610512281301
10,CCCV,41.08512008717193
11,CCCV,39.073164614375074
12,CCCV,39.06854049285948
13,CCCV,40.48392454313207
14,CCCV,36.1734395106844
15,CCCV,36.550164334973935
16,CCCV,38.875424941518055
17,CCCV,37.97433775933115
18,CCCV,40.628494665190544
19,CCCV,38.18395184895758
20,CCCV,37.17539259732942
21,CCCV,42.93129753784311
1,ALGO1,34.4845781420882
2,ALGO1,38.24508982420638
3,ALGO1,34.158312700057955
4,ALGO1,37.01772719000951
5,ALGO1,32.68065975224045
6,ALGO1,33.94362790220314
7,ALGO1,36.99372247173825
8,ALGO1,38.07693315999082
9,ALGO1,36.94273656237994
10,ALGO1,36.36870343522352
11,ALGO1,35.99779260882142
12,ALGO1,33.64295601926515
13,ALGO1,30.664718245050437
14,ALGO1,35.67872245808043
15,ALGO1,38.71424445243783
16,ALGO1,43.16300172086649
17,ALGO1,33.07391968927453
18,ALGO1,37.24816793878959
19,ALGO1,35.82983543916737
20,ALGO1,35.24615599938809
21,ALGO1,37.82335257768174
1,ALGO2,38.90001079101436
2,ALGO2,40.45303293715073
3,ALGO2,37.91577015400003
4,ALGO2,33.63142524326824
5,ALGO2,38.83817155619833
6,ALGO2,36.83776209168263
7,ALGO2,37.935589506526306
8,ALGO2,38.47224470133852
9,ALGO2,35.44059623868024
10,ALGO2,35.31220727931215
11,ALGO2,36.69893228348043
12,ALGO2,35.06888465621005
13,ALGO2,37.30097815622119
14,ALGO2,36.77315749730721
15,ALGO2,45.561988749124815
16,ALGO2,34.94981822237827
17,ALGO2,35.435904347400324
18,ALGO2,37.84788613958187
19,ALGO2,38.74541019598104
20,ALGO2,41.574451965914584
21,ALGO2,40.245840998682745
1,ALGO3,41.322110544359774
2,ALGO3,40.81022691328492
3,ALGO3,40.3308257332497
4,ALGO3,37.96925851589917
5,ALGO3,39.95870935446928
6,ALGO3,40.11457096694646
7,ALGO3,39.19544546155676
8,ALGO3,40.477428576667975
9,ALGO3,41.608101713629075
10,ALGO3,44.60894918538161
11,ALGO3,41.149155625663674
12,ALGO3,41.31510078144552
13,ALGO3,39.188950981137495
14,ALGO3,36.96245756940191
15,ALGO3,40.74697224910156
16,ALGO3,40.92046041988205
17,ALGO3,45.72648422497057
18,ALGO3,40.41527807043775
19,ALGO3,41.403094684667224
20,ALGO3,40.73057646058951
21,ALGO3,38.46264392476093
1,ALGO4,43.00645665317865
2,ALGO4,34.394252926649386
3,ALGO4,37.91267206476413
4,ALGO4,35.01061813747745
5,ALGO4,38.08109643192348
6,ALGO4,36.518125246273875
7,ALGO4,36.06347120204678
8,ALGO4,35.068975252342305
9,ALGO4,36.126509948463614
10,ALGO4,37.952243597067934
11,ALGO4,38.92772122183732
12,ALGO4,37.892896322669394
13,ALGO4,39.56777304883421
14,ALGO4,41.918325432538666
15,ALGO4,36.1715903057381
16,ALGO4,36.428266565809
17,ALGO4,33.95991710463241
18,ALGO4,39.22145451222728
19,ALGO4,39.43879362852898
20,ALGO4,35.105707687900896
21,ALGO4,38.07528169102229
1,ALGO5,38.03335338746819
2,ALGO5,40.983145459210924
3,ALGO5,36.5750052913411
4,ALGO5,40.53445899795288
5,ALGO5,40.7168276724266
6,ALGO5,39.63623704391117
7,ALGO5,35.02694390842872
8,ALGO5,43.34669031603496
9,ALGO5,39.09394930091443
10,ALGO5,39.87921840316733
